#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,1227.324062
-100.0,1,1227.324121
-100.0,1,1233.51942
-100.0,1,1233.519485
-100.0,1,1239.870464
-100.0,1,1239.870525
-100.0,1,1245.352755
-100.0,1,1245.352812
-100.0,1,1250.51432
-100.0,1,1250.514382
-100.0,1,1259.301009
-105.0,1,1268.440491
-110.0,2,1268.440551
-110.0,2,1287.501887
-110.0,2,1287.50196
-102.5,1,1293.882872
-102.5,1,1293.882931
-100.0,1,1300.680241
-100.0,1,1304.966398
-110.0,2,1304.966491
-100.0,1,1311.502653
-110.0,2,1318.064706
-110.0,2,1322.295215
-100.0,1,1322.295273
-100.0,1,1329.783612
-110.0,2,1333.862074
-100.0,1,1333.862139
-100.0,1,1340.906263
-110.0,2,1348.203354
-110.0,2,1356.240744
-47.5,1,1356.240807
-77.5,1,1363.617952
-100.0,1,1363.618014
-100.0,1,1371.315934
-100.0,1,1371.316028
-110.0,2,1392.961148
-110.0,2,1392.961339
-110.0,2,1412.351074
-110.0,2,1412.351144
-100.0,1,1422.606259
-100.0,1,1428.483935
-110.0,2,1428.483999
-100.0,1,1437.294913
-100.0,1,1442.533055
-110.0,2,1442.533116
-100.0,1,1452.344182
-110.0,2,1465.484344
-110.0,2,1474.727823
-105.0,1,1474.727887
-100.0,1,1484.087625
-110.0,2,1490.082418
-100.0,1,1490.0825
-100.0,1,1500.517903
-110.0,2,1505.970442
-100.0,1,1505.970508
-100.0,1,1515.384661
-110.0,2,1520.722337
-100.0,1,1520.722432
-102.5,1,1531.74024
-110.0,2,1536.177248
-100.0,1,1536.177297
-100.0,1,1543.274095
-110.0,2,1547.427537
-100.0,1,1547.427595
-102.5,1,1555.738532
-100.0,1,1559.737646
-110.0,2,1559.737714
-100.0,1,1563.786897
-100.0,1,1563.786964
-100.0,1,1567.774604
-100.0,1,1567.774656
-100.0,1,1573.967453
-110.0,2,1580.503309
-110.0,2,1586.53465
-110.0,2,1593.381056
-110.0,2,1600.388598
-105.0,1,1606.380359
-110.0,2,1606.380418
-100.0,1,1610.991276
-100.0,1,1610.991334
-100.0,1,1617.83669
-110.0,2,1624.575658
-110.0,2,1630.553553
-105.0,1,1630.553612
-105.0,1,1644.651094
-110.0,2,1657.001241
-110.0,2,1664.111333
-100.0,1,1664.111396
-100.0,1,1669.116628
-100.0,1,1669.116679
-100.0,1,1676.806225
-100.0,1,1681.559261
-110.0,2,1681.559379
-100.0,1,1689.661554
-100.0,1,1695.037965
-110.0,2,1695.038049
-100.0,1,1707.983227
-110.0,2,1713.910596
-100.0,1,1713.910651
-100.0,1,1720.814525
-110.0,2,1725.872899
-102.5,1,1725.873009
-102.5,1,1735.150398
-100.0,1,1740.139223
-110.0,2,1740.139286
-110.0,2,1759.195972
-110.0,2,1759.196026
-100.0,1,1768.956826
-110.0,2,1778.389589
-110.0,2,1783.653059
-100.0,1,1783.653111
-110.0,2,1803.33616
-110.0,2,1803.336225
-100.0,1,1809.034812
-100.0,1,1809.034866
-100.0,1,1816.535757
-100.0,1,1816.535815
-100.0,1,1821.830137
-100.0,1,1821.83022
-110.0,2,1839.787437
-110.0,2,1839.787537
-100.0,1,1848.977246
-100.0,1,1854.073526
-110.0,2,1854.073589
-100.0,1,1862.698736
-100.0,1,1868.275459
-110.0,2,1868.27552
-100.0,1,1877.593738
